Date,Close/Last,Volume,Open,High,Low
08/29/2024,$413.12,17045240,$414.94,$422.05,$410.60
08/28/2024,$410.60,14882660,$414.88,$415.00,$407.31
08/27/2024,$413.84,13492910,$412.86,$414.36,$410.25
08/26/2024,$413.49,13152830,$416.365,$417.2799,$411.34
08/23/2024,$416.79,18493780,$416.98,$419.26,$412.09
08/22/2024,$415.55,19361900,$424.36,$426.7899,$414.61
08/21/2024,$424.14,16067300,$424.075,$426.40,$421.72
08/20/2024,$424.80,16387580,$421.70,$425.86,$421.64
08/19/2024,$421.53,15233960,$418.96,$421.75,$416.46
08/16/2024,$418.47,22775590,$420.60,$421.34,$417.30
08/15/2024,$421.03,20752140,$419.80,$421.11,$417.66
08/14/2024,$416.86,18266980,$414.80,$417.72,$412.4456
08/13/2024,$414.01,19414270,$409.59,$414.95,$409.57
08/12/2024,$406.81,16762880,$407.06,$408.76,$404.2434
08/09/2024,$406.02,19276670,$404.03,$408.05,$402.2624
08/08/2024,$402.69,20203030,$402.44,$405.86,$399.9407
08/07/2024,$398.43,20650910,$408.635,$410.08,$397.47
08/06/2024,$399.61,24946530,$400.00,$405.67,$398.50
08/05/2024,$395.15,40709240,$389.17,$401.04,$385.58
08/02/2024,$408.49,29437900,$412.49,$415.00,$404.34
08/01/2024,$417.11,30296400,$420.785,$427.46,$413.0901
07/31/2024,$418.35,42891370,$420.495,$421.775,$412.21
07/30/2024,$422.92,32687580,$427.72,$429.05,$417.36
